Korean,Pronunciation,English
안녕하세요,annyeonghaseyo,Hello
감사합니다,gamsahamnida,Thank you
고맙습니다,gomapseumnida,Thank you
죄송합니다,joesonghamnida,I'm sorry
미안합니다,mianhamnida,Sorry
네,ne,Yes
아니요,aniyo,No
안녕,annyeong,Hi
잘 가요,jal gayo,Goodbye
잘 있어요,jal isseoyo,Goodbye
안녕히 가세요,annyeonghi gaseyo,Goodbye
안녕히 계세요,annyeonghi gyeseyo,Goodbye
좋은 아침입니다,joeun achimimnida,Good morning
좋은 밤 되세요,joeun bam doeseyo,Good night
잘 자요,jal jayo,Sleep well
반갑습니다,ban-gapseumnida,Nice to meet you
처음 뵙겠습니다,cheoeum boepgetseumnida,Pleased to meet you
괜찮아요,gwaenchanayo,It's okay
천만에요,cheonmaneyo,You're welcome
실례합니다,sillyehamnida,Excuse me
부탁합니다,butakamnida,Please
도와주세요,dowajuseyo,Help me
축하합니다,chukhahamnida,Congratulations
생일 축하합니다,saengil chukhahamnida,Happy birthday
새해 복 많이 받으세요,saehae bok mani badeuseyo,Happy New Year
오랜만이에요,oraenmanieyo,Long time no see
잘 지냈어요,jal jinaesseoyo,How have you been
이름이 뭐예요,ireumi mwoyeyo,What's your name
제 이름은,je ireumeun,My name is
저는,jeoneun,I am
만나서 반갑습니다,mannaseo bangapseumnida,Nice to meet you
어떻게 지내세요,eotteoke jinaeseyo,How are you
잘 지내요,jal jinaeyo,I'm fine
좋아요,joayo,Good
별로예요,byeolloyeyo,Not really
모르겠어요,moreugesseoyo,I don't know
알겠습니다,algesseumnida,I understand
알겠어요,algesseoyo,Got it
이해했어요,ihaehaesseoyo,I understand
다시 말씀해 주세요,dasi malsseumhae juseyo,Please repeat
천천히 말씀해 주세요,cheoncheonhi malsseumhae juseyo,Please speak slowly
한국어를 배우고 있어요,hangugeoreul baeugo isseoyo,I'm learning Korean
영어를 할 수 있어요,yeongeoreul hal su isseoyo,I speak English
한국어를 조금 해요,hangugeoreul jogeum haeyo,I speak a little Korean
네 맞아요,ne majayo,That's right
아니에요,anieyo,No it isn't
정말요,jeongmallyo,Really
진짜요,jinjjayo,Really
물론이죠,mullonijyo,Of course
괜찮습니다,gwaenchanseumnida,It's okay
상관없어요,sanggwaneopseoyo,No problem
좋습니다,jotseumnida,Good
싫어요,sireoyo,I don't like it
좋아해요,joahaeyo,I like it
사랑해요,saranghaeyo,I love you
보고 싶어요,bogo sipeoyo,I miss you
축하해요,chukhahaeyo,Congratulations
힘내세요,himnaeseyo,Cheer up
행운을 빌어요,haenguneul bireoyo,Good luck
건배,geonbae,Cheers
잠깐만요,jamkkanmanyo,Wait a moment
잠시만요,jamsimanyo,Just a moment
여기요,yeogiyo,Excuse me
저기요,jeogiyo,Excuse me
열한 시에 만나요,yeolhan sie mannayo,Let's meet at eleven
언제 시간이 괜찮아요,eonje sigani gwaenchanayo,When are you free
오늘 시간 있어요,oneul sigan isseoyo,Are you free today
지금 바빠요,jigeum bappayo,I'm busy now
지금은 괜찮아요,jigeumeun gwaenchanayo,Now is fine
나중에 이야기해요,najunge iyagihaeyo,Let's talk later
이따가 봐요,ittaga bwayo,See you later
금방 올게요,geumbang olgeyo,I'll be right back
잠시 다녀올게요,jamsi danyeoolgeyo,I'll be back soon
먼저 갈게요,meonjeo galgeyo,I'll leave first
먼저 들어갈게요,meonjeo deureogalgeyo,I'll head home first
늦어서 죄송합니다,neujeoseo joesonghamnida,Sorry I'm late
늦었어요,neujeosseoyo,I'm late
늦지 마세요,neutji maseyo,Don't be late
시간을 지켜 주세요,siganeul jikyeo juseyo,Please be punctual
기다리고 있었어요,gidarigo isseosseoyo,I was waiting
오래 기다렸어요,orae gidaryeosseoyo,I waited a long time
금방 끝나요,geumbang kkeunnayo,It will finish soon
거의 다 왔어요,geoui da wasseoyo,I'm almost there
곧 시작해요,got sijakhaeyo,It starts soon
다 끝났어요,da kkeunnasseoyo,It's all finished
잘했어요,jalhaesseoyo,Well done
정말 잘했어요,jeongmal jalhaesseoyo,Very well done
